model,accuracy,precision,recall,f1_score,roc_auc
baseline_hgb,0.914,0.737934613388687,0.8002250984805852,0.7678185745140389,0.9317741232694082
optimized_hgb,0.9148,0.739513205592957,0.8036015756893641,0.7702265372168284,0.9331769168529656
