metric,value
accuracy,0.6432
precision,0.2683053040103493
recall,0.5835678109172763
f1_score,0.36760014179369016
roc_auc,0.664674129024845
task4_reference_auc,0.9331769168529656
auc_drop_from_task4,0.26850278782812054
