feature,r_squared_against_others,tolerance,vif,multicollinearity_flag
DISTANCE,0.9695366076896207,0.03046339231037931,32.82628506409924,severe
SCHEDULED_TIME,0.9692274983134724,0.030772501686527565,32.4965454608394,severe
FLIGHT_NUMBER,0.1123354509522485,0.8876645490477515,1.126551692385099,low
SCHEDULED_DEPARTURE_HOUR,0.003926616183885012,0.996073383816115,1.003942095279006,low
SCHEDULED_DEPARTURE_MINUTE,0.0023585720664270893,0.9976414279335729,1.0023641480800496,low
DAY_OF_WEEK,0.0011029050018662723,0.9988970949981337,1.0011041227443638,low
MONTH,0.0007242995668435004,0.9992757004331565,1.0007248245569562,low
DAY,5.933765253807177e-05,0.9999406623474619,1.000059341173704,low
